Number,Name,Eruption Number,Category,Country,VEI,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
257040,Ambrym,22430,Confirmed Eruption,Vanuatu,,,2022,,1,,25,,Historical Observations,>,2022,,1,,27,,-16.25,168.12
353020,Wolf,22431,Confirmed Eruption,Ecuador,,,2022,,1,,6,,Historical Observations,>,2022,,1,,27,,0.02,-91.35
233020,"Fournaise, Piton de la",22396,Confirmed Eruption,France,,,2021,,12,,22,,Historical Observations,,2022,,1,,17,,-21.244,55.708
243040,Hunga Tonga-Hunga Ha'apai,22429,Confirmed Eruption,Tonga,,,2021,,12,,20,,Historical Observations,,2022,,1,,15,,-20.536,-175.382
257030,Ambae,22420,Confirmed Eruption,Vanuatu,,,2021,,12,,5,,Historical Observations,>,2022,,1,,27,,-15.389,167.835
273083,Pinatubo,22423,Confirmed Eruption,Philippines,,,2021,,11,,30,,Historical Observations,,2021,,11,,30,,15.13,120.35
264250,Iliwerung,22421,Confirmed Eruption,Indonesia,,,2021,,11,,28,,Historical Observations,,2021,,11,,29,,-8.532,123.573
273070,Taal,22427,Confirmed Eruption,Philippines,,,2021,,11,,15,,Historical Observations,,2021,,11,,22,,14.002,120.993
345070,Turrialba,22425,Confirmed Eruption,Costa Rica,,,2021,,11,,3,,Historical Observations,>,2022,,1,,27,,10.025,-83.767
282110,Asosan,22424,Confirmed Eruption,Japan,,,2021,,10,,14,,Historical Observations,,2021,,10,,20,,32.884,131.104
255060,Kavachi,22419,Confirmed Eruption,Solomon Islands,,,2021,,10,,2,,Historical Observations,,2021,,11,,26,,-8.991,157.979
332010,Kilauea,22416,Confirmed Eruption,United States,,,2021,,9,,29,,Historical Observations,>,2022,,1,,27,,19.421,-155.287
383010,La Palma,22417,Confirmed Eruption,Spain,,,2021,,9,,19,,Historical Observations,,2021,,12,,15,,28.57,-17.83
284096,Nishinoshima,22407,Confirmed Eruption,Japan,,,2021,,8,,14,,Historical Observations,,2021,,8,,15,,27.247,140.874
284130,Fukutoku-Oka-no-Ba,22408,Confirmed Eruption,Japan,,,2021,,8,,13,,Historical Observations,,2021,,9,?,12,,24.285,141.481
290260,Chirinkotan,22410,Confirmed Eruption,Russia,,,2021,,8,,8,,Historical Observations,,2021,,8,,26,,48.98,153.48
312030,Pavlof,22411,Confirmed Eruption,United States,,,2021,,8,,5,,Historical Observations,>,2022,,1,,27,,55.417,-161.894
284170,Pagan,22409,Confirmed Eruption,United States,,,2021,,7,,29,,Historical Observations,,2021,,9,,6,,18.13,145.8
264270,Sirung,22405,Confirmed Eruption,Indonesia,,,2021,,7,,21,,Historical Observations,,2021,,7,,21,,-8.508,124.13
252120,Ulawun,22414,Confirmed Eruption,Papua New Guinea,,,2021,,7,,9,,Historical Observations,,2021,,11,,29,,-5.05,151.33
273070,Taal,22406,Confirmed Eruption,Philippines,,,2021,,7,,1,,Historical Observations,,2021,,7,,9,,14.002,120.993
345020,Rincon de la Vieja,22412,Confirmed Eruption,Costa Rica,,,2021,,6,,28,,Historical Observations,>,2022,,1,,27,,10.83,-85.324
345070,Turrialba,22403,Confirmed Eruption,Costa Rica,,,2021,,6,,13,,Historical Observations,,2021,,7,,23,,10.025,-83.767
262000,Krakatau,22426,Confirmed Eruption,Indonesia,,,2021,,5,,25,,Historical Observations,,2021,,11,,7,,-6.102,105.423
311120,Great Sitkin,22401,Confirmed Eruption,United States,,,2021,,5,,25,,Historical Observations,>,2022,,1,,27,,52.076,-176.13
263200,Dieng Volcanic Complex,22397,Confirmed Eruption,Indonesia,,,2021,,4,,29,,Historical Observations,,2021,,4,,29,,-7.2,109.879
344040,Telica,22402,Confirmed Eruption,Nicaragua,,,2021,,4,,21,,Historical Observations,>,2022,,1,,27,,12.606,-86.84
263310,Tengger Caldera,22404,Confirmed Eruption,Indonesia,,,2021,,4,,15,,Historical Observations,,2021,,10,,14,,-7.942,112.95
233020,"Fournaise, Piton de la",22395,Confirmed Eruption,France,,,2021,,4,,9,,Historical Observations,,2021,,5,,24,,-21.244,55.708
371030,Krysuvik-Trolladyngja,22399,Confirmed Eruption,Iceland,,,2021,,3,,19,,Historical Observations,,2021,,9,,18,,63.917,-22.067
312070,Veniaminof,22393,Confirmed Eruption,United States,,,2021,,2,,28,,Historical Observations,,2021,,4,,5,,56.17,-159.38
311060,Semisopochnoi,22392,Confirmed Eruption,United States,,,2021,,2,,2,2,Historical Observations,>,2022,,1,,27,,51.93,179.58
263340,Raung,22383,Confirmed Eruption,Indonesia,,,2021,,1,,21,,Historical Observations,,2021,,4,,14,,-8.119,114.056
263250,Merapi,22381,Confirmed Eruption,Indonesia,1,,2020,,12,,31,,Historical Observations,>,2022,,1,,27,,-7.54,110.446
360150,Soufriere St. Vincent,22385,Confirmed Eruption,Saint Vincent and the Grenadines,4,,2020,,12,,27,,Historical Observations,,2021,,4,,22,,13.33,-61.18
344020,San Cristobal,22394,Confirmed Eruption,Nicaragua,3,,2020,,12,?,27,,Historical Observations,>,2022,,1,,27,,12.702,-87.004
263310,Tengger Caldera,22382,Confirmed Eruption,Indonesia,1,,2020,,12,,26,,Historical Observations,,2020,,12,,28,,-7.942,112.95
332010,Kilauea,22380,Confirmed Eruption,United States,0,,2020,,12,,20,,Historical Observations,,2021,,5,,23,,19.421,-155.287
233020,"Fournaise, Piton de la",22371,Confirmed Eruption,France,0,,2020,,12,,7,,Historical Observations,,2020,,12,,8,,-21.244,55.708
264230,Lewotolok,22373,Confirmed Eruption,Indonesia,2,,2020,,11,,27,,Historical Observations,>,2022,,1,,27,,-8.274,123.508
282060,Kikai,22374,Confirmed Eruption,Japan,1,,2020,,10,,6,,Historical Observations,,2020,,10,,6,,30.793,130.305
255060,Kavachi,22364,Confirmed Eruption,Solomon Islands,0,,2020,,9,,2,,Historical Observations,,2021,,4,,10,,-8.991,157.979
282050,Kuchinoerabujima,22391,Confirmed Eruption,Japan,1,,2020,,8,,29,,Historical Observations,,2020,,8,,29,,30.443,130.217
261080,Sinabung,22365,Confirmed Eruption,Indonesia,3,,2020,,8,,8,,Historical Observations,,2021,,9,,23,,3.17,98.392
344040,Telica,22368,Confirmed Eruption,Nicaragua,1,,2020,,7,,20,,Historical Observations,,2020,,12,,9,,12.606,-86.84
263340,Raung,22367,Confirmed Eruption,Indonesia,1,,2020,,7,,16,,Historical Observations,,2020,,10,,3,,-8.119,114.056
345070,Turrialba,22369,Confirmed Eruption,Costa Rica,1,,2020,,6,,18,,Historical Observations,,2020,,8,,24,,10.025,-83.767
311240,Cleveland,22361,Confirmed Eruption,United States,3,,2020,,6,,1,,Historical Observations,,2020,,6,,1,,52.825,-169.944
282060,Kikai,22359,Confirmed Eruption,Japan,1,,2020,,4,,29,,Historical Observations,,2020,,4,,29,,30.793,130.305
300130,Karymsky,22360,Confirmed Eruption,Russia,3,,2020,,4,,1,,Historical Observations,>,2022,,1,,27,,54.049,159.443
266030,Soputan,22354,Confirmed Eruption,Indonesia,2,,2020,,3,,23,,Historical Observations,,2020,,4,,2,,1.112,124.737
255060,Kavachi,22357,Confirmed Eruption,Solomon Islands,0,,2020,,3,,16,,Historical Observations,,2020,,4,,30,,-8.991,157.979
290240,Sarychev Peak,22384,Confirmed Eruption,Russia,1,,2020,,2,,29,1,Historical Observations,,2021,,11,,26,,48.092,153.2
343100,San Miguel,22355,Confirmed Eruption,El Salvador,1,,2020,,2,,22,,Historical Observations,,2020,,2,,22,,13.434,-88.269
233020,"Fournaise, Piton de la",22343,Confirmed Eruption,France,0,,2020,,2,,10,,Historical Observations,,2020,,4,,6,,-21.244,55.708
345020,Rincon de la Vieja,22346,Confirmed Eruption,Costa Rica,2,,2020,,1,,30,,Historical Observations,,2020,,12,,13,,10.83,-85.324
353010,Fernandina,22347,Confirmed Eruption,Ecuador,0,,2020,,1,,12,,Historical Observations,,2020,,1,,13,,-0.37,-91.55
273070,Taal,22344,Confirmed Eruption,Philippines,4,,2020,,1,,12,,Historical Observations,,2020,,1,,22,,14.002,120.993
282050,Kuchinoerabujima,22345,Confirmed Eruption,Japan,3,,2020,,1,,11,,Historical Observations,,2020,,5,,13,,30.443,130.217
241040,Whakaari/White Island,22338,Confirmed Eruption,New Zealand,2,,2019,,12,,9,,Historical Observations,,2019,,12,,9,,-37.52,177.18
311060,Semisopochnoi,22341,Confirmed Eruption,United States,1,,2019,,12,,7,,Historical Observations,,2020,,6,,19,,51.93,179.58
284096,Nishinoshima,22340,Confirmed Eruption,Japan,1,,2019,,12,,5,,Historical Observations,,2020,,8,,27,,27.247,140.874
311240,Cleveland,22342,Uncertain Eruption,United States,,,2019,,11,,7,,Historical Observations,,2019,,12,?,7,,52.825,-169.944
282060,Kikai,22339,Confirmed Eruption,Japan,2,,2019,,11,,2,,Historical Observations,,2019,,11,,2,,30.793,130.305
243070,Lateiki,22334,Confirmed Eruption,Tonga,1,,2019,,10,,13,,Historical Observations,,2019,,10,,22,,-19.18,-174.87
283110,Asamayama,22326,Confirmed Eruption,Japan,2,,2019,,8,,7,,Historical Observations,,2019,,8,,25,,36.406,138.523
263090,Tangkuban Parahu,22325,Confirmed Eruption,Indonesia,1,,2019,,7,,26,,Historical Observations,,2019,,9,,17,,-6.77,107.6
311360,Shishaldin,22330,Confirmed Eruption,United States,3,,2019,,7,,23,,Historical Observations,,2020,,5,,4,,54.756,-163.97
311060,Semisopochnoi,22328,Confirmed Eruption,United States,1,,2019,,7,,16,,Historical Observations,,2019,,8,,24,,51.93,179.58
252120,Ulawun,22319,Confirmed Eruption,Papua New Guinea,4,,2019,,6,,26,,Historical Observations,,2019,,10,,5,,-5.05,151.33
354020,Ubinas,22324,Confirmed Eruption,Peru,2,,2019,,6,,24,,Historical Observations,,2019,,9,,12,,-16.355,-70.903
290250,Raikoke,22321,Confirmed Eruption,Russia,3,,2019,,6,,22,,Historical Observations,,2019,,7,,1,,48.292,153.25
233020,"Fournaise, Piton de la",22318,Confirmed Eruption,France,0,,2019,,6,,11,,Historical Observations,,2019,,10,,27,,-21.244,55.708
311120,Great Sitkin,22322,Confirmed Eruption,United States,1,,2019,,6,,1,,Historical Observations,,2019,,6,,7,,52.076,-176.13
290240,Sarychev Peak,22320,Confirmed Eruption,Russia,2,,2019,,5,,16,,Historical Observations,,2019,,10,,7,,48.092,153.2
341040,Colima,22323,Confirmed Eruption,Mexico,1,,2019,,5,,11,,Historical Observations,,2019,,7,,12,,19.514,-103.62
282110,Asosan,22317,Confirmed Eruption,Japan,2,,2019,,4,,16,,Historical Observations,,2020,,6,,16,,32.884,131.104
300260,Klyuchevskoy,22310,Confirmed Eruption,Russia,2,,2019,,4,,9,,Historical Observations,,2021,,3,,20,,56.056,160.642
352090,Sangay,22312,Confirmed Eruption,Ecuador,2,,2019,,3,,26,,Historical Observations,>,2022,,1,,27,,-2.005,-78.341
344020,San Cristobal,22311,Confirmed Eruption,Nicaragua,1,,2019,,3,,4,,Historical Observations,,2019,,3,,4,,12.702,-87.004
233020,"Fournaise, Piton de la",22307,Confirmed Eruption,France,0,,2019,,2,,18,,Historical Observations,,2019,,3,,10,,-21.244,55.708
263310,Tengger Caldera,22306,Confirmed Eruption,Indonesia,2,,2019,,2,,18,,Historical Observations,,2019,,7,,28,,-7.942,112.95
300130,Karymsky,22309,Confirmed Eruption,Russia,2,,2019,,2,,16,,Historical Observations,,2019,,9,,24,,54.049,159.443
345040,Poas,22303,Confirmed Eruption,Costa Rica,2,,2019,,2,,7,,Historical Observations,,2019,,9,,30,,10.2,-84.233
261080,Sinabung,22316,Confirmed Eruption,Indonesia,4,?,2019,,2,,6,,Historical Observations,,2019,,6,,9,,3.17,98.392
256010,Tinakula,22313,Confirmed Eruption,Solomon Islands,2,<,2018,,12,,8,,Historical Observations,>,2021,,12,,27,,-10.386,165.804
267020,Karangetang,22294,Confirmed Eruption,Indonesia,2,,2018,,11,,25,,Historical Observations,>,2022,,1,,27,,2.781,125.407
357040,Planchon-Peteroa,22297,Confirmed Eruption,Chile,1,,2018,,11,,7,,Historical Observations,,2019,,5,,7,1,-35.223,-70.568
282050,Kuchinoerabujima,22296,Confirmed Eruption,Japan,3,,2018,,10,,21,,Historical Observations,,2019,,2,,3,,30.443,130.217
268060,Gamalama,22295,Confirmed Eruption,Indonesia,1,,2018,,10,,4,,Historical Observations,,2018,,10,,6,,0.8,127.33
266030,Soputan,22293,Confirmed Eruption,Indonesia,3,,2018,,10,,2,,Historical Observations,,2018,,12,,16,,1.112,124.737
260010,Barren Island,22292,Confirmed Eruption,India,1,,2018,,9,,25,,Historical Observations,>,2022,,1,,27,,12.278,93.858
252120,Ulawun,22286,Confirmed Eruption,Papua New Guinea,2,,2018,,9,,21,,Historical Observations,,2018,,10,,12,,-5.05,151.33
290200,Ketoi,22287,Uncertain Eruption,Russia,1,,2018,,9,,21,,Historical Observations,,2018,,9,,21,,47.35,152.475
290240,Sarychev Peak,22288,Confirmed Eruption,Russia,2,,2018,,9,,8,,Historical Observations,,2018,,10,,15,,48.092,153.2
311060,Semisopochnoi,22289,Confirmed Eruption,United States,1,,2018,,9,,8,,Historical Observations,,2018,,10,,31,,51.93,179.58
312070,Veniaminof,22290,Confirmed Eruption,United States,1,,2018,,9,,4,,Historical Observations,,2018,,12,,23,,56.17,-159.38
290390,Alaid,22281,Confirmed Eruption,Russia,1,,2018,,8,,20,,Historical Observations,,2018,,8,,21,,50.861,155.565
352090,Sangay,22283,Confirmed Eruption,Ecuador,2,,2018,,8,,8,,Historical Observations,,2018,,12,,7,,-2.005,-78.341
345020,Rincon de la Vieja,22282,Confirmed Eruption,Costa Rica,1,,2018,,7,,28,,Historical Observations,,2019,,6,,11,,10.83,-85.324
284096,Nishinoshima,22280,Confirmed Eruption,Japan,1,,2018,,7,,12,,Historical Observations,,2018,,7,,21,,27.247,140.874
233005,Mayotte,22337,Confirmed Eruption,France,0,,2018,,7,,3,,Seismicity,?,2019,,8,,20,,-12.83,45.17
353050,"Negra, Sierra",22279,Confirmed Eruption,Ecuador,2,,2018,,6,,26,,Historical Observations,,2018,,8,,23,,-0.83,-91.17
344040,Telica,22277,Confirmed Eruption,Nicaragua,1,,2018,,6,,21,,Historical Observations,,2018,,8,,15,,12.606,-86.84
262000,Krakatau,22275,Confirmed Eruption,Indonesia,3,,2018,,6,,18,,Historical Observations,,2020,,4,,17,,-6.102,105.423
353010,Fernandina,22278,Confirmed Eruption,Ecuador,1,,2018,,6,,16,,Historical Observations,,2018,,6,,21,,-0.37,-91.55
311120,Great Sitkin,22276,Confirmed Eruption,United States,1,,2018,,6,,10,,Historical Observations,,2018,,8,,11,,52.076,-176.13
252120,Ulawun,22285,Confirmed Eruption,Papua New Guinea,1,,2018,,6,,8,,Historical Observations,,2018,,6,,8,,-5.05,151.33
263250,Merapi,22264,Confirmed Eruption,Indonesia,3,,2018,,5,,11,,Historical Observations,,2020,,6,,21,,-7.54,110.446
300130,Karymsky,22265,Confirmed Eruption,Russia,3,,2018,,4,,28,,Historical Observations,,2018,,9,,30,,54.049,159.443
261140,Marapi,22262,Confirmed Eruption,Indonesia,2,,2018,,4,,27,,Historical Observations,,2018,,5,,2,,-0.38,100.474
344020,San Cristobal,22266,Confirmed Eruption,Nicaragua,1,,2018,,4,,22,,Historical Observations,,2018,,4,,22,,12.702,-87.004
261170,Kerinci,22274,Confirmed Eruption,Indonesia,1,,2018,,4,,21,,Historical Observations,,2021,,6,,13,,-1.697,101.264
223020,Nyamulagira,22315,Confirmed Eruption,DR Congo,0,,2018,,4,,18,,Historical Observations,>,2022,,1,,27,,-1.408,29.2
233020,"Fournaise, Piton de la",22261,Confirmed Eruption,France,0,,2018,,4,,3,,Historical Observations,,2018,,11,,1,,-21.244,55.708
263200,Dieng Volcanic Complex,22263,Confirmed Eruption,Indonesia,1,,2018,,4,,1,,Historical Observations,,2018,,4,,1,,-7.2,109.879
282090,Kirishimayama,22257,Confirmed Eruption,Japan,3,,2018,,3,,1,,Historical Observations,,2018,,6,,27,,31.934,130.862
352090,Sangay,22259,Confirmed Eruption,Ecuador,1,,2018,,2,,25,,Historical Observations,,2018,,2,,25,,-2.005,-78.341
267020,Karangetang,22256,Confirmed Eruption,Indonesia,1,,2018,,2,,2,,Historical Observations,,2018,,2,,2,,2.781,125.407
283120,Kusatsu-Shiranesan,22258,Confirmed Eruption,Japan,1,,2018,,1,,23,,Historical Observations,,2018,,1,,23,,36.618,138.528
343100,San Miguel,22251,Confirmed Eruption,El Salvador,1,,2018,,1,,14,,Historical Observations,,2018,,5,,30,,13.434,-88.269
273030,Mayon,22250,Confirmed Eruption,Philippines,2,,2018,,1,,13,,Historical Observations,,2019,,10,,12,,13.257,123.685
251002,Kadovar,22246,Confirmed Eruption,Papua New Guinea,2,,2018,,1,,5,,Historical Observations,>,2022,,1,,9,,-3.608,144.588
272020,Kanlaon,22249,Confirmed Eruption,Philippines,2,,2017,,12,,9,,Historical Observations,,2017,,12,,9,,10.412,123.132
264020,Agung,22241,Confirmed Eruption,Indonesia,3,,2017,,11,,21,,Historical Observations,,2019,,6,,13,,-8.343,115.508
261230,Dempo,22248,Confirmed Eruption,Indonesia,1,,2017,,11,,9,,Historical Observations,,2017,,11,,9,,-4.016,103.121
256010,Tinakula,22239,Confirmed Eruption,Solomon Islands,3,,2017,,10,,21,,Historical Observations,,2017,,10,,26,,-10.386,165.804
290240,Sarychev Peak,22308,Confirmed Eruption,Russia,2,,2017,,10,,12,,Historical Observations,,2017,,11,?,13,,48.092,153.2
282090,Kirishimayama,22242,Confirmed Eruption,Japan,2,,2017,,10,,11,,Historical Observations,,2017,,10,,17,,31.934,130.862
257030,Ambae,22240,Confirmed Eruption,Vanuatu,3,,2017,,9,?,6,,Historical Observations,,2018,,10,,30,,-15.389,167.835
353010,Fernandina,22245,Confirmed Eruption,Ecuador,2,,2017,,9,,4,,Historical Observations,,2017,,9,,7,1,-0.37,-91.55
344020,San Cristobal,22252,Confirmed Eruption,Nicaragua,3,,2017,,8,,18,,Historical Observations,,2017,,11,,11,,12.702,-87.004
261170,Kerinci,22273,Confirmed Eruption,Indonesia,1,,2017,,8,,13,,Historical Observations,,2017,,8,,13,,-1.697,101.264
352090,Sangay,22231,Confirmed Eruption,Ecuador,2,,2017,,7,,20,,Historical Observations,,2017,,10,,26,,-2.005,-78.341
264050,Sangeang Api,22228,Confirmed Eruption,Indonesia,2,,2017,,7,,15,,Historical Observations,,2020,,6,,10,,-8.2,119.07
233020,"Fournaise, Piton de la",22224,Confirmed Eruption,France,0,,2017,,7,,14,,Historical Observations,,2017,,8,,28,,-21.244,55.708
252120,Ulawun,22225,Confirmed Eruption,Papua New Guinea,1,,2017,,6,,11,,Historical Observations,,2017,,11,,3,,-5.05,151.33
273010,Bulusan,22229,Confirmed Eruption,Philippines,1,,2017,,6,,5,,Historical Observations,,2017,,6,,5,,12.769,124.056
261140,Marapi,22226,Confirmed Eruption,Indonesia,1,,2017,,6,,4,,Historical Observations,,2017,,6,,4,,-0.38,100.474
300130,Karymsky,22230,Confirmed Eruption,Russia,3,,2017,,6,,4,,Historical Observations,,2018,,1,,27,,54.049,159.443
345020,Rincon de la Vieja,22208,Confirmed Eruption,Costa Rica,2,,2017,,5,,23,,Historical Observations,,2018,,3,,15,3,10.83,-85.324
267020,Karangetang,22212,Uncertain Eruption,Indonesia,,,2017,,5,,10,,Historical Observations,,2017,,5,,10,,2.781,125.407
263200,Dieng Volcanic Complex,22227,Confirmed Eruption,Indonesia,1,,2017,,4,,30,,Historical Observations,,2017,,7,,2,,-7.2,109.879
284096,Nishinoshima,22207,Confirmed Eruption,Japan,2,,2017,,4,,18,1,Historical Observations,,2017,,8,,17,6,27.247,140.874
345040,Poas,22209,Confirmed Eruption,Costa Rica,1,,2017,,4,,12,,Historical Observations,,2017,,11,,6,,10.2,-84.233
222120,"Lengai, Ol Doinyo",22284,Confirmed Eruption,Tanzania,0,,2017,,4,,9,,Historical Observations,>,2022,,1,,27,,-2.764,35.914
360160,Kick 'em Jenny,22260,Confirmed Eruption,Grenada,0,,2017,,3,,29,,Hydrophonic,,2017,,3,,29,,12.3,-61.64
282080,Aira,22203,Confirmed Eruption,Japan,1,,2017,,3,,25,,Historical Observations,>,2022,,1,,27,,31.593,130.657
300010,Kambalny,22198,Confirmed Eruption,Russia,3,,2017,,3,,24,,Historical Observations,,2017,,4,,10,,51.306,156.875
264100,Ebulobo,22211,Uncertain Eruption,Indonesia,,,2017,,3,,12,,Historical Observations,,2017,,3,,12,,-8.817,121.191
262000,Krakatau,22188,Confirmed Eruption,Indonesia,1,,2017,,2,,19,,Historical Observations,,2017,,2,,19,,-6.102,105.423
344020,San Cristobal,22269,Confirmed Eruption,Nicaragua,1,,2017,,2,,18,,Historical Observations,,2017,,4,,19,,12.702,-87.004
233020,"Fournaise, Piton de la",22184,Confirmed Eruption,France,0,,2017,,1,,31,,Historical Observations,,2017,,2,,27,,-21.244,55.708
243030,Unnamed,22185,Confirmed Eruption,Tonga,0,,2017,,1,,23,,Historical Observations,,2017,,1,,31,,-20.852,-175.55
260010,Barren Island,22187,Confirmed Eruption,India,2,,2017,,1,,15,,Historical Observations,,2017,,5,?,16,,12.278,93.858
343100,San Miguel,22192,Confirmed Eruption,El Salvador,1,,2017,,1,,7,,Historical Observations,,2017,,1,,7,,13.434,-88.269
311300,Bogoslof,22182,Confirmed Eruption,United States,3,,2016,,12,,20,,Historical Observations,,2017,,8,,30,,53.93,-168.03
290260,Chirinkotan,22175,Confirmed Eruption,Russia,3,,2016,,11,,29,,Historical Observations,,2017,,4,,7,,48.98,153.48
223020,Nyamulagira,22202,Confirmed Eruption,DR Congo,0,,2016,,11,,27,,Historical Observations,,2017,,5,,2,,-1.408,29.2
300120,Zhupanovsky,22177,Confirmed Eruption,Russia,2,,2016,,11,,20,,Historical Observations,,2016,,11,,20,,53.589,159.15
261170,Kerinci,22172,Confirmed Eruption,Indonesia,1,,2016,,11,,15,,Historical Observations,,2016,,11,,21,,-1.697,101.264
354006,Sabancaya,22158,Confirmed Eruption,Peru,3,,2016,,11,,6,,Historical Observations,>,2022,,1,,27,,-15.787,-71.857
290380,Ebeko,22176,Confirmed Eruption,Russia,2,,2016,,10,,20,,Historical Observations,,2021,,11,,9,,50.686,156.014
252120,Ulawun,22171,Confirmed Eruption,Papua New Guinea,1,,2016,,10,,11,,Historical Observations,,2016,,11,,18,,-5.05,151.33
282110,Asosan,22174,Confirmed Eruption,Japan,3,,2016,,10,,7,,Historical Observations,,2016,,11,,12,,32.884,131.104
300130,Karymsky,22178,Confirmed Eruption,Russia,2,,2016,,10,,5,,Historical Observations,,2016,,10,,8,,54.049,159.443
222120,"Lengai, Ol Doinyo",22305,Confirmed Eruption,Tanzania,,,2016,,9,<,21,,Historical Observations,,2016,,10,>,13,,-2.764,35.914
241040,Whakaari/White Island,22147,Confirmed Eruption,New Zealand,1,,2016,,9,,13,,Historical Observations,,2016,,9,,13,,-37.52,177.18
354020,Ubinas,22181,Confirmed Eruption,Peru,2,,2016,,9,,13,,Historical Observations,,2017,,3,,2,,-16.355,-70.903
233020,"Fournaise, Piton de la",22145,Confirmed Eruption,France,0,,2016,,9,,11,,Historical Observations,,2016,,9,,18,,-21.244,55.708
268060,Gamalama,22150,Confirmed Eruption,Indonesia,1,,2016,,8,,3,,Historical Observations,,2016,,8,,4,,0.8,127.33
264030,Rinjani,22149,Confirmed Eruption,Indonesia,2,,2016,,8,,1,,Historical Observations,,2016,,9,,27,,-8.42,116.47
290360,Chikurachki,22153,Confirmed Eruption,Russia,2,,2016,,7,,27,,Historical Observations,,2016,,8,,18,,50.324,155.461
343100,San Miguel,22154,Confirmed Eruption,El Salvador,1,,2016,,6,,18,,Historical Observations,,2016,,6,,18,,13.434,-88.269
273010,Bulusan,22151,Confirmed Eruption,Philippines,2,,2016,,6,,10,,Historical Observations,,2017,,3,,2,,12.769,124.056
345040,Poas,22156,Confirmed Eruption,Costa Rica,1,,2016,,6,,5,,Historical Observations,,2016,,8,,16,,10.2,-84.233
233020,"Fournaise, Piton de la",22144,Confirmed Eruption,France,0,,2016,,5,,26,,Historical Observations,,2016,,5,,27,,-21.244,55.708
241040,Whakaari/White Island,22121,Confirmed Eruption,New Zealand,1,,2016,,4,,27,,Historical Observations,,2016,,4,,27,,-37.52,177.18
390080,Bristol Island,22133,Confirmed Eruption,United Kingdom,1,,2016,,4,,24,,Historical Observations,,2016,,7,,19,,-59.017,-26.533
344020,San Cristobal,22130,Confirmed Eruption,Nicaragua,2,,2016,,4,,22,,Historical Observations,,2016,,4,,22,,12.702,-87.004
311240,Cleveland,22128,Confirmed Eruption,United States,2,,2016,,4,,16,,Historical Observations,,2019,,1,,16,,52.825,-169.944
261170,Kerinci,22125,Confirmed Eruption,Indonesia,2,,2016,,3,,31,,Historical Observations,,2016,,6,,9,,-1.697,101.264
390130,Zavodovski,22159,Confirmed Eruption,United Kingdom,1,,2016,,3,,30,,Historical Observations,,2016,,5,,16,15,-56.3,-27.57
290360,Chikurachki,22127,Confirmed Eruption,Russia,2,,2016,,3,,29,,Historical Observations,,2016,,3,,31,,50.324,155.461
312030,Pavlof,22129,Confirmed Eruption,United States,2,,2016,,3,,27,,Historical Observations,,2016,,7,,30,,55.417,-161.894
352090,Sangay,22237,Confirmed Eruption,Ecuador,2,,2016,,3,,25,,Historical Observations,,2016,,11,,17,,-2.005,-78.341
273010,Bulusan,22114,Confirmed Eruption,Philippines,2,,2016,,2,,22,,Historical Observations,,2016,,2,,22,,12.769,124.056
343100,San Miguel,22117,Confirmed Eruption,El Salvador,1,,2016,,1,,12,,Historical Observations,,2016,,1,,18,,13.434,-88.269
357070,"Chillan, Nevados de",22119,Confirmed Eruption,Chile,2,,2016,,1,,8,,Historical Observations,>,2022,,1,,27,,-36.868,-71.378
266030,Soputan,22105,Confirmed Eruption,Indonesia,3,,2016,,1,,2,,Historical Observations,,2016,,2,,7,,1.112,124.737
344090,Momotombo,22107,Confirmed Eruption,Nicaragua,2,,2015,,12,,1,,Historical Observations,,2016,,4,,7,,12.423,-86.539
272020,Kanlaon,22106,Confirmed Eruption,Philippines,2,,2015,,11,,24,,Historical Observations,,2016,,6,,18,,10.412,123.132
261140,Marapi,22111,Confirmed Eruption,Indonesia,1,,2015,,11,,14,,Historical Observations,,2015,,11,,14,,-0.38,100.474
263310,Tengger Caldera,22103,Confirmed Eruption,Indonesia,2,,2015,,11,,12,,Historical Observations,,2016,,11,,12,,-7.942,112.95
355100,Lascar,22110,Confirmed Eruption,Chile,2,,2015,,10,,30,,Historical Observations,,2017,,4,,2,1,-23.37,-67.73
264030,Rinjani,22104,Confirmed Eruption,Indonesia,2,,2015,,10,,25,,Historical Observations,,2015,,12,,24,,-8.42,116.47
252010,Langila,22123,Confirmed Eruption,Papua New Guinea,2,,2015,,10,?,22,,Historical Observations,>,2022,,1,,23,,-5.525,148.42
344100,Masaya,22108,Confirmed Eruption,Nicaragua,1,,2015,,10,,3,,Historical Observations,>,2022,,1,,27,,11.985,-86.165
243060,Tofua,22370,Confirmed Eruption,Tonga,0,,2015,,10,,2,,Historical Observations,>,2022,,1,,27,,-19.75,-175.07
290390,Alaid,21096,Confirmed Eruption,Russia,1,,2015,,9,,29,,Historical Observations,,2016,,8,,11,,50.861,155.565
344040,Telica,21097,Confirmed Eruption,Nicaragua,2,,2015,,9,,23,,Historical Observations,,2016,,5,,11,,12.606,-86.84
266100,Lokon-Empung,21093,Confirmed Eruption,Indonesia,1,,2015,,8,,30,,Historical Observations,,2015,,9,,28,1,1.358,124.792
