Number,Name,Eruption Number,Category,Country,VEI,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
371040,Brennisteinsfjoll,12515,Confirmed Eruption,Iceland,2,,1341,1,0,,0,,Historical Observations,,,,,,,,63.933,-21.783
282110,Asosan,17218,Confirmed Eruption,Japan,2,,1340,,2,,3,,Historical Observations,,1340,,2,,25,,32.884,131.104
282060,Kikai,16992,Confirmed Eruption,Japan,,,1340,30,0,,0,,Radiocarbon (uncorrected),,,,,,,,30.793,130.305
233020,"Fournaise, Piton de la",14216,Confirmed Eruption,France,0,?,1340,,0,,0,,Radiocarbon (corrected),,,,,,,,-21.244,55.708
241030,Taranaki,14450,Confirmed Eruption,New Zealand,,,1340,40,0,,0,,Radiocarbon (uncorrected),,,,,,,,-39.3,174.07
332010,Kilauea,19884,Confirmed Eruption,United States,0,,1340,40,0,,0,,Anthropology,,,,,,,,19.421,-155.287
284170,Pagan,18503,Confirmed Eruption,United States,,,1340,100,0,,0,,Radiocarbon (corrected),,,,,,,,18.13,145.8
283280,Hakkodasan,18134,Confirmed Eruption,Japan,1,,1340,75,0,,0,,Radiocarbon (corrected),,,,,,,,40.659,140.877
371030,Krysuvik-Trolladyngja,19929,Confirmed Eruption,Iceland,1,?,1340,,0,,0,,Tephrochronology,,,,,,,,63.917,-22.067
360120,Pelee,12424,Confirmed Eruption,France,4,,1340,50,0,,0,,Radiocarbon (corrected),,,,,,,,14.809,-61.165
346010,Baru,11255,Confirmed Eruption,Panama,,,1340,75,0,,0,,Tephrochronology,,,,,,,,8.808,-82.543
371022,Eldey,12501,Confirmed Eruption,Iceland,3,?,1340,,0,,0,,Historical Observations,,,,,,,,63.733,-23
284010,Izu-Oshima,18180,Confirmed Eruption,Japan,3,,1338,,9,,15,5,Historical Observations,,1338,,11,,15,5,34.724,139.394
282110,Asosan,17217,Confirmed Eruption,Japan,2,,1335,,2,,7,,Historical Observations,,1335,,3,,26,,32.884,131.104
263280,Kelud,10423,Confirmed Eruption,Indonesia,3,,1334,,0,,0,,Historical Observations,,,,,,,,-7.935,112.314
211060,Etna,13654,Discredited Eruption,Italy,,,1334,,0,,0,,,,,,,,,,37.748,14.999
211060,Etna,13653,Confirmed Eruption,Italy,2,,1333,,0,,0,,Historical Observations,,,,,,,,37.748,14.999
373010,Grimsvotn,12771,Confirmed Eruption,Iceland,2,,1332,,11,,0,,Historical Observations,,,,,,,,64.416,-17.316
282110,Asosan,17216,Confirmed Eruption,Japan,2,,1331,,12,,0,,Historical Observations,,1333,,6,,0,,32.884,131.104
282110,Asosan,17215,Confirmed Eruption,Japan,2,,1331,,4,,0,,Historical Observations,,1331,,4,,0,,32.884,131.104
283190,Zaozan [Zaosan],17954,Uncertain Eruption,Japan,2,,1331,,0,,0,,,,1333,,0,,0,,38.144,140.44
283180,Azumayama,17924,Confirmed Eruption,Japan,1,,1331,,0,,0,,Historical Observations,,,,,,,,37.735,140.244
300070,Gorely,19011,Confirmed Eruption,Russia,2,,1330,25,0,,0,,Tephrochronology,,,,,,,,52.559,158.03
320100,Tseax River Cone,20440,Confirmed Eruption,Canada,,,1330,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,55.12,-128.9
351012,"Bravo, Cerro",11264,Confirmed Eruption,Colombia,4,,1330,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,5.091,-75.293
211060,Etna,13652,Confirmed Eruption,Italy,3,,1329,,6,,28,,Historical Observations,,1329,,8,,4,4,37.748,14.999
371030,Krysuvik-Trolladyngja,19928,Confirmed Eruption,Iceland,1,?,1325,,0,,0,,Tephrochronology,,,,,,,,63.917,-22.067
360150,Soufriere St. Vincent,12443,Confirmed Eruption,Saint Vincent and the Grenadines,,,1325,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,13.33,-61.18
282110,Asosan,17214,Confirmed Eruption,Japan,2,,1324,,9,,7,,Historical Observations,,,,,,,,32.884,131.104
211060,Etna,13651,Discredited Eruption,Italy,,,1321,,0,,0,,,,1328,,0,,0,,37.748,14.999
262000,Krakatau,15586,Confirmed Eruption,Indonesia,,?,1320,,0,,0,,Historical Observations,,,,,,,,-6.102,105.423
285080,Kussharo,18725,Confirmed Eruption,Japan,,,1320,300,0,,0,,Tephrochronology,,,,,,,,43.615,144.427
372030,Katla,19947,Confirmed Eruption,Iceland,,,1311,,1,,18,,Historical Observations,,,,,,,,63.633,-19.083
263280,Kelud,10422,Confirmed Eruption,Indonesia,3,,1311,,0,,0,,Historical Observations,,,,,,,,-7.935,112.314
241050,Okataina,14505,Confirmed Eruption,New Zealand,5,,1310,12,0,,0,,Radiocarbon (corrected),?,1315,,0,,0,,-38.12,176.5
244040,Savai'i,14811,Confirmed Eruption,Samoa,,,1310,50,0,,0,,Radiocarbon (corrected),,,,,,,,-13.612,-172.525
332020,Mauna Loa,10173,Confirmed Eruption,United States,0,?,1310,,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.475,-155.608
373010,Grimsvotn,12770,Confirmed Eruption,Iceland,,,1310,10,0,,0,,Ice Core,,,,,,,,64.416,-17.316
358010,Osorno,12225,Confirmed Eruption,Chile,,,1310,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,-41.105,-72.496
284010,Izu-Oshima,18179,Confirmed Eruption,Japan,3,?,1307,,0,,0,,Varve Count,,,,,,,,34.724,139.394
282110,Asosan,17213,Confirmed Eruption,Japan,2,,1305,,5,,2,,Historical Observations,,,,,,,,32.884,131.104
211030,Ischia,13393,Confirmed Eruption,Italy,,,1302,,1,,18,,Historical Observations,,1302,,3,,0,,40.73,13.897
372070,Hekla,12735,Confirmed Eruption,Iceland,4,,1300,,7,,11,,Historical Observations,,1301,,7,,0,,63.983,-19.666
373060,Askja,12907,Confirmed Eruption,Iceland,1,?,1300,,0,,0,,Tephrochronology,,,,,,,,65.033,-16.783
373080,Krafla,12940,Confirmed Eruption,Iceland,2,,1300,200,0,,0,,Tephrochronology,,,,,,,,65.715,-16.728
222051,Emuruangogolak,13980,Confirmed Eruption,Kenya,0,,1300,150,0,,0,,Magnetism,,,,,,,,1.5,36.33
241030,Taranaki,14449,Confirmed Eruption,New Zealand,,,1300,50,0,,0,,Radiocarbon (uncorrected),,,,,,,,-39.3,174.07
263250,Merapi,15843,Confirmed Eruption,Indonesia,,,1300,75,0,,0,,Radiocarbon (corrected),,,,,,,,-7.54,110.446
283240,Iwatesan,17572,Confirmed Eruption,Japan,3,,1300,50,0,,0,,Tephrochronology,,,,,,,,39.853,141.001
300060,Mutnovsky,18955,Confirmed Eruption,Russia,2,?,1300,,0,,0,,Tephrochronology,,,,,,,,52.449,158.196
321020,Glacier Peak,20473,Uncertain Eruption,United States,,,1300,300,0,,0,,,,,,,,,,48.112,-121.113
300280,Ichinsky,19593,Confirmed Eruption,Russia,,,1300,200,0,,0,,Radiocarbon (corrected),,,,,,,,55.678,157.718
231070,"Rahat, Harrat",14155,Uncertain Eruption,Saudi Arabia,,,1292,,0,,0,,,,,,,,,,23.08,39.78
211030,Ischia,13392,Confirmed Eruption,Italy,,?,1290,,0,,0,,Radiocarbon (corrected),,,,,,,,40.73,13.897
271020,Matutum,16697,Confirmed Eruption,Philippines,,,1290,40,0,,0,,Radiocarbon (uncorrected),,,,,,,,6.37,125.07
327050,Black Rock Desert,20701,Confirmed Eruption,United States,,,1290,150,0,,0,,Radiocarbon (uncorrected),,,,,,,,38.97,-112.5
290010,Tomariyama [Golovnin],18734,Confirmed Eruption,Japan,,,1290,20,0,,0,,Tephrochronology,,,,,,,,43.844,145.504
373030,Bardarbunga,12862,Confirmed Eruption,Iceland,,,1290,10,0,,0,,Ice Core,,,,,,,,64.633,-17.516
373010,Grimsvotn,12769,Confirmed Eruption,Iceland,,,1290,10,0,,0,,Ice Core,,,,,,,,64.416,-17.316
352006,Cayambe,11412,Confirmed Eruption,Ecuador,4,?,1290,,0,,0,,Tephrochronology,,,,,,,,0.029,-77.986
282110,Asosan,17212,Confirmed Eruption,Japan,2,,1286,,8,,30,,Historical Observations,,,,,,,,32.884,131.104
211060,Etna,13650,Confirmed Eruption,Italy,,,1284,,0,,0,,Historical Observations,,1285,,1,?,0,,37.748,14.999
283110,Asamayama,17681,Uncertain Eruption,Japan,3,,1281,,7,,3,,,,,,,,,,36.406,138.523
282110,Asosan,17211,Confirmed Eruption,Japan,2,,1281,,7,,0,,Historical Observations,,1281,,8,,0,,32.884,131.104
352060,Quilotoa,11597,Confirmed Eruption,Ecuador,6,?,1280,,0,,0,,Radiocarbon (corrected),,,,,,,,-0.85,-78.9
345040,Poas,11143,Confirmed Eruption,Costa Rica,,?,1280,,0,,0,,Tephrochronology,,,,,,,,10.2,-84.233
312090,Aniakchak,22139,Confirmed Eruption,United States,,,1280,145,,,,,Radiocarbon (corrected),,,,,,,,56.88,-158.17
282110,Asosan,17210,Confirmed Eruption,Japan,2,,1274,,0,,0,,Historical Observations,,,,,,,,32.884,131.104
282110,Asosan,17209,Confirmed Eruption,Japan,2,,1273,,8,,0,,Historical Observations,,,,,,,,32.884,131.104
282110,Asosan,17208,Confirmed Eruption,Japan,2,,1272,,11,,29,,Historical Observations,,,,,,,,32.884,131.104
282110,Asosan,17207,Confirmed Eruption,Japan,2,,1272,,4,,16,,Historical Observations,,,,,,,,32.884,131.104
282110,Asosan,17206,Confirmed Eruption,Japan,2,,1271,,1,,5,,Historical Observations,,,,,,,,32.884,131.104
211020,Vesuvius,13327,Uncertain Eruption,Italy,2,,1270,,0,,0,,,,,,,,,,40.821,14.426
341062,Jocotitlan,10478,Confirmed Eruption,Mexico,,,1270,75,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.73,-99.758
283070,Yakedake,17494,Confirmed Eruption,Japan,,?,1270,,0,,0,,Tephrochronology,,,,,,,,36.227,137.587
373010,Grimsvotn,12768,Confirmed Eruption,Iceland,,,1270,10,0,,0,,Ice Core,,,,,,,,64.416,-17.316
373030,Bardarbunga,12861,Confirmed Eruption,Iceland,,,1270,10,0,,0,,Ice Core,,,,,,,,64.633,-17.516
352006,Cayambe,11411,Confirmed Eruption,Ecuador,,?,1270,,0,,0,,Tephrochronology,,,,,,,,0.029,-77.986
360110,"Plat Pays, Morne",12380,Confirmed Eruption,Dominica,,,1270,50,0,,0,,Radiocarbon (uncorrected),,,,,,,,15.255,-61.341
282110,Asosan,17205,Confirmed Eruption,Japan,2,,1269,,8,,0,,Historical Observations,,,,,,,,32.884,131.104
282110,Asosan,17204,Confirmed Eruption,Japan,2,,1265,,12,?,1,,Historical Observations,,,,,,,,32.884,131.104
372030,Katla,19946,Confirmed Eruption,Iceland,5,,1262,,0,,0,,Historical Observations,,,,,,,,63.633,-19.083
360120,Pelee,12423,Confirmed Eruption,France,,,1260,20,0,,0,,Radiocarbon (uncorrected),,,,,,,,14.809,-61.165
352050,Cotopaxi,11535,Confirmed Eruption,Ecuador,,,1260,150,0,,0,,Tephrochronology,,,,,,,,-0.677,-78.436
341100,"Orizaba, Pico de",10573,Confirmed Eruption,Mexico,3,,1260,50,0,,0,,Radiocarbon (uncorrected),,,,,,,,19.03,-97.27
323150,Mammoth Mountain,20679,Confirmed Eruption,United States,,,1260,40,0,,0,,Radiocarbon (corrected),,,,,,,,37.631,-119.032
264030,Rinjani,20843,Confirmed Eruption,Indonesia,7,,1257,,7,,1,90,Ice Core,,,,,,,,-8.42,116.47
231070,"Rahat, Harrat",14154,Confirmed Eruption,Saudi Arabia,3,,1256,,6,,5,,Historical Observations,,1256,,7,?,27,,23.08,39.78
231160,"Sawad, Harra Es-",14160,Confirmed Eruption,Yemen,3,,1253,,0,,0,,Historical Observations,,,,,,,,13.58,46.12
283130,Akagisan,17848,Uncertain Eruption,Japan,3,,1251,,5,,18,,,,,,,,,,36.56,139.193
285070,Akan,18682,Confirmed Eruption,Japan,,,1250,300,0,,0,,Tephrochronology,,,,,,,,43.384,144.013
285050,Tokachidake,18642,Confirmed Eruption,Japan,3,?,1250,,0,,0,,Radiocarbon (corrected),,,,,,,,43.418,142.686
323010,Shasta,20638,Confirmed Eruption,United States,,?,1250,,0,,0,,Radiocarbon (uncorrected),,,,,,,,41.409,-122.193
300550,Gorny Institute,19613,Confirmed Eruption,Russia,,?,1250,,0,,0,,Radiocarbon (uncorrected),,,,,,,,57.33,160.2
222166,Rungwe,14030,Confirmed Eruption,Tanzania,,,1250,40,0,,0,,Radiocarbon (corrected),,,,,,,,-9.135,33.668
221190,Fentale,13952,Confirmed Eruption,Ethiopia,,,1250,50,0,,0,,Historical Observations,,,,,,,,8.975,39.93
211060,Etna,13649,Confirmed Eruption,Italy,2,,1250,,0,,0,,Historical Observations,,,,,,,,37.748,14.999
373030,Bardarbunga,12860,Confirmed Eruption,Iceland,1,,1250,50,0,,0,,Tephrochronology,,,,,,,,64.633,-17.516
352080,Tungurahua,11623,Confirmed Eruption,Ecuador,,,1250,50,0,,0,,Radiocarbon (corrected),,,,,,,,-1.467,-78.442
353060,"Azul, Cerro",11716,Confirmed Eruption,Ecuador,0,>,1250,,0,,0,,Surface Exposure,,,,,,,,-0.92,-91.408
290340,Fuss Peak,20879,Confirmed Eruption,Russia,3,?,1250,,,,,,Tephrochronology,,,,,,,,50.267,155.246
